date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:31	93392/93392	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2015:43:49%20GMT	https://www.handypro.com/	D:/downloaded%20templets/handy%20services/handypro/www.handypro.com/index.html	(from )
15:50:31	87/87	---MCZ	200	added ('OK')	text/plain	date:Mon,%2010%20Feb%202025%2009:40:58%20GMT	https://www.handypro.com/robots.txt		(from )
15:50:32	311281/311281	---M-Z	200	added ('OK')	text/css	etag:%22cf27a7c886146cf4070730ceac601e5c%22	https://cdn.prod.website-files.com/64c93da6f9f661cffa20dfee/css/handypro.155e2615f.min.css	D:/downloaded%20templets/handy%20services/handypro/cdn.prod.website-files.com/64c93da6f9f661cffa20dfee/css/handypro.155e2615f.min.css	(from https://www.handypro.com/)
15:50:33	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/downloaded%20templets/handy%20services/handypro/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.handypro.com/)
15:50:33	14294/14294	---M--	200	added ('OK')	image/png	etag:%22f915f291c42771fbbd9ebf829b913147%22	https://cdn.prod.website-files.com/64c93da6f9f661cffa20dfee/65fdf184c51d68e1f8c6c7b7_Artboard.png	D:/downloaded%20templets/handy%20services/handypro/cdn.prod.website-files.com/64c93da6f9f661cffa20dfee/65fdf184c51d68e1f8c6c7b7_Artboard.png	(from https://www.handypro.com/)
15:50:33	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2010%20Feb%202025%2011:50:33%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/downloaded%20templets/handy%20services/handypro/www.googletagmanager.com/gtm.35445.delayed	(from https://www.handypro.com/)
15:50:35	49221/49221	---MCZ	200	added ('OK')	application/javascript	etag:W/%22abdd6a43253bef08807182a124dc64cf%22	https://static.elfsight.com/platform/platform.js	D:/downloaded%20templets/handy%20services/handypro/static.elfsight.com/platform/platform.js	(from https://www.handypro.com/)
15:50:35	66026/66026	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2016:40:23%20GMT	https://www.handypro.com/service-categories/handyman-services	D:/downloaded%20templets/handy%20services/handypro/www.handypro.com/service-categories/handyman-services.html	(from https://www.handypro.com/)
15:50:35	62491/62491	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2016:41:18%20GMT	https://www.handypro.com/service-categories/home-modification	D:/downloaded%20templets/handy%20services/handypro/www.handypro.com/service-categories/home-modification.html	(from https://www.handypro.com/)
15:50:36	52865/52865	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2015:21:10%20GMT	https://www.handypro.com/service-categories/commercial-services	D:/downloaded%20templets/handy%20services/handypro/www.handypro.com/service-categories/commercial-services.html	(from https://www.handypro.com/)
15:50:36	52705/52705	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202025%2015:46:11%20GMT	https://www.handypro.com/services/handyman-services	D:/downloaded%20templets/handy%20services/handypro/www.handypro.com/services/handyman-services.html	(from https://www.handypro.com/)
15:50:36	48163/48163	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2020:45:57%20GMT	https://www.handypro.com/services/painting	D:/downloaded%20templets/handy%20services/handypro/www.handypro.com/services/painting.html	(from https://www.handypro.com/)
15:50:37	49539/49539	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202025%2021:29:39%20GMT	https://www.handypro.com/services/drywall-repair	D:/downloaded%20templets/handy%20services/handypro/www.handypro.com/services/drywall-repair.html	(from https://www.handypro.com/)
